# frame,DetObj#,x,y,z,v,snr,noise,label
1.000000000000000000e+01,0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,-3.272151574492454529e-02,2.885766699910163879e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.810000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.810000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.870000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.870000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,8.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,9.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.100000000000000000e+01,1.717879623174667358e-01,1.975184679031372070e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.200000000000000000e+01,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.610000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.300000000000000000e+01,2.208702415227890015e-01,7.536167502403259277e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.610000000000000000e+02,6.980000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.400000000000000000e+01,2.072362750768661499e-01,8.026226758956909180e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.500000000000000000e+01,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.600000000000000000e+01,-5.453586205840110779e-02,8.708679080009460449e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.670000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.700000000000000000e+01,2.454113811254501343e-01,8.373519778251647949e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.670000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.800000000000000000e+01,-5.726265534758567810e-02,9.144112467765808105e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.030000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,1.900000000000000000e+01,2.863132655620574951e-01,8.703170418739318848e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.030000000000000000e+02,6.650000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+01,-8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.100000000000000000e+01,2.999472320079803467e-01,9.117606878280639648e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.200000000000000000e+01,2.508649528026580811e-01,9.715957641601562500e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.300000000000000000e+01,-5.017299056053161621e-01,8.690216541290283203e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+02,7.010000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.400000000000000000e+01,-5.889872908592224121e-01,8.657298684120178223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.310000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.500000000000000000e+01,-6.476133465766906738e-01,8.776450753211975098e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.680000000000000000e+02,7.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.600000000000000000e+01,3.408491313457489014e-01,1.036091566085815430e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.680000000000000000e+02,7.670000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.700000000000000000e+01,3.899314105510711670e-01,1.065220236778259277e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,8.080000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.800000000000000000e+01,-3.190347850322723389e-01,1.088557481765747070e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,8.080000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,2.900000000000000000e+01,4.049287736415863037e-01,1.106190204620361328e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130000000000000000e+02,8.500000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+01,-3.681170642375946045e-01,1.118978977203369141e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130000000000000000e+02,8.500000000000000000e+02,3.000000000000000000e+00
