# frame,DetObj#,x,y,z,v,snr,noise,label
0.000000000000000000e+00,0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.110000000000000000e+02,7.040000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.110000000000000000e+02,7.040000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.660000000000000000e+02,6.860000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.660000000000000000e+02,6.860000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.650000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.650000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,-1.636075824499130249e-01,6.072856858372688293e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.830000000000000000e+02,6.660000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.830000000000000000e+02,6.660000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,6.760000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,-2.045094817876815796e-01,7.591070979833602905e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,6.760000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,6.970000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.717879623174667358e-01,1.975184679031372070e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,6.970000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,-2.454113774001598358e-02,7.849328517913818359e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000000e+02,7.040000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,-1.036181375384330750e-01,8.224434852600097656e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000000e+02,6.860000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.295226663351058960e-01,8.187636137008666992e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000000e+02,6.860000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,-1.363396495580673218e-01,8.618564605712890625e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.580000000000000000e+02,6.750000000000000000e+02,3.000000000000000000e+00
