# frame,detObj,x,y,z,v,snr,noise,label,hypotenuse
0.000000000000000000e+00,0.000000000000000000e+00,-1.636075787246227264e-02,4.044487699866294861e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00,4.362868865320514850e-02
0.000000000000000000e+00,1.000000000000000000e+00,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00,4.362868814846213722e-02
0.000000000000000000e+00,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.820000000000000000e+02,3.000000000000000000e+00,8.725737645357431460e-02
0.000000000000000000e+00,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.820000000000000000e+02,3.000000000000000000e+00,8.725738139532411564e-02
0.000000000000000000e+00,4.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00,1.308860606697761775e-01
0.000000000000000000e+00,5.000000000000000000e+00,-5.726265162229537964e-02,1.176951527595520020e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00,1.308860582870102762e-01
0.000000000000000000e+00,6.000000000000000000e+00,-1.690611690282821655e-01,4.328649118542671204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+02,6.540000000000000000e+02,3.000000000000000000e+00,1.745147535091386426e-01
0.000000000000000000e+00,7.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+02,6.540000000000000000e+02,3.000000000000000000e+00,1.745147520610940695e-01
0.000000000000000000e+00,8.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.090000000000000000e+02,6.630000000000000000e+02,3.000000000000000000e+00,2.181434497060059097e-01
0.000000000000000000e+00,9.000000000000000000e+00,-1.567905992269515991e-01,1.516682952642440796e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.090000000000000000e+02,6.630000000000000000e+02,3.000000000000000000e+00,2.181434477455339027e-01
0.000000000000000000e+00,1.000000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,6.840000000000000000e+02,3.000000000000000000e+00,2.617721213395523550e-01
0.000000000000000000e+00,1.100000000000000000e+01,4.090189561247825623e-02,2.585569024085998535e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,6.840000000000000000e+02,3.000000000000000000e+00,2.617721086132445141e-01
0.000000000000000000e+00,1.200000000000000000e+01,-7.362341135740280151e-02,7.818577289581298828e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.470000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00,7.853164426086249872e-01
0.000000000000000000e+00,1.300000000000000000e+01,-1.295226663351058960e-01,8.187636137008666992e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.870000000000000000e+02,6.820000000000000000e+02,3.000000000000000000e+00,8.289450984323734062e-01
0.000000000000000000e+00,1.400000000000000000e+01,2.072362750768661499e-01,8.026226758956909180e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.870000000000000000e+02,6.820000000000000000e+02,3.000000000000000000e+00,8.289451330273276408e-01
0.000000000000000000e+00,1.500000000000000000e+01,-1.090717241168022156e-01,8.657299280166625977e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.440000000000000000e+02,6.670000000000000000e+02,3.000000000000000000e+00,8.725737500438273120e-01
0.000000000000000000e+00,1.600000000000000000e+01,-1.717879623174667358e-01,8.999533057212829590e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.860000000000000000e+02,6.540000000000000000e+02,3.000000000000000000e+00,9.162025193568572590e-01
0.000000000000000000e+00,1.700000000000000000e+01,3.435759246349334717e-01,8.493424057960510254e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.860000000000000000e+02,6.540000000000000000e+02,3.000000000000000000e+00,9.162024548494580589e-01
0.000000000000000000e+00,1.800000000000000000e+01,6.898786425590515137e-01,6.673405170440673828e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+02,6.630000000000000000e+02,3.000000000000000000e+00,9.598311867968047917e-01
0.000000000000000000e+00,1.900000000000000000e+01,3.299419581890106201e-01,9.013402462005615234e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+02,6.630000000000000000e+02,3.000000000000000000e+00,9.598312014070430331e-01
0.000000000000000000e+00,2.000000000000000000e+01,6.585205197334289551e-01,7.571540474891662598e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.840000000000000000e+02,3.000000000000000000e+00,1.003459778236881705e+00
0.000000000000000000e+00,2.100000000000000000e+01,-5.644461512565612793e-01,8.296577930450439453e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,6.840000000000000000e+02,3.000000000000000000e+00,1.003459770608028823e+00
0.000000000000000000e+00,2.200000000000000000e+01,-6.544303297996520996e-01,8.173831701278686523e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.150000000000000000e+02,7.110000000000000000e+02,3.000000000000000000e+00,1.047088488796417582e+00
