# frame,DetObj#,x,y,z,v,snr,noise,realObj
0.000000000000000000e+00,0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.970000000000000000e+02,7.210000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.970000000000000000e+02,7.210000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.530000000000000000e+02,7.030000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.530000000000000000e+02,7.030000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.530000000000000000e+02,6.910000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.530000000000000000e+02,6.910000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.740000000000000000e+02,6.780000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.740000000000000000e+02,6.780000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,-1.567905992269515991e-01,1.516682952642440796e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.910000000000000000e+02,6.860000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.910000000000000000e+02,6.860000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,-2.208702266216278076e-01,1.405026316642761230e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,7.080000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,7.080000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,-2.454113774001598358e-02,7.849328517913818359e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.360000000000000000e+02,7.210000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,-7.771360129117965698e-02,8.252942562103271484e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.760000000000000000e+02,7.030000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,-1.090717241168022156e-01,8.657299280166625977e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.480000000000000000e+02,6.910000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,4.294699132442474365e-01,8.093099594116210938e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.730000000000000000e+02,6.780000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,5.726265311241149902e-01,7.152103781700134277e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.730000000000000000e+02,6.780000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,-5.099102854728698730e-01,8.131834864616394043e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.640000000000000000e+02,6.860000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,8.998417109251022339e-02,9.556038379669189453e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.640000000000000000e+02,6.860000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,-5.330880284309387207e-01,8.501462936401367188e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.470000000000000000e+02,7.080000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,5.644461512565612793e-01,8.296577930450439453e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.470000000000000000e+02,7.080000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,2.617721259593963623e-01,1.013839125633239746e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.220000000000000000e+02,7.340000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,-5.235442519187927246e-01,9.068052172660827637e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.220000000000000000e+02,7.340000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,3.067642152309417725e-01,1.046689867973327637e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.620000000000000000e+02,7.650000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,-1.022547334432601929e-01,1.085913419723510742e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.620000000000000000e+02,7.650000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,7.089661955833435059e-01,8.854984045028686523e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.290000000000000000e+02,7.970000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,-3.544830977916717529e-01,1.077535271644592285e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.290000000000000000e+02,7.970000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,-4.417404532432556152e-01,1.092011690139770508e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,8.310000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,3.681170567870140076e-02,1.177399277687072754e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,8.310000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,-1.090717196464538574e+00,8.714823722839355469e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000000e+01,8.280000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,-4.799155890941619873e-01,1.311040282249450684e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000000e+01,8.280000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,-4.049287736415863037e-01,1.381630659103393555e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,8.220000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,-1.124802112579345703e+00,8.987162709236145020e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,8.220000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,-4.635548293590545654e-01,1.409084677696228027e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,8.180000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,5.099102854728698730e-01,1.392980337142944336e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,8.180000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,8.812994956970214844e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.070000000000000000e+02,6.920000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,8.856623649597167969e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,6.940000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,0.000000000000000000e+00,8.900252342224121094e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.270000000000000000e+02,6.860000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,1.217325702309608459e-01,3.860000000000000000e+02,6.800000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,-3.408491238951683044e-02,2.723382413387298584e-02,0.000000000000000000e+00,1.217325702309608459e-01,3.860000000000000000e+02,6.800000000000000000e+02,0.000000000000000000e+00
