# frame,DetObj#,x,y,z,v,snr,noise,realObj
0.000000000000000000e+00,0.000000000000000000e+00,-1.499736215919256210e-02,4.097000882029533386e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.120000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.120000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-7.362341135740280151e-02,4.683420807123184204e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.790000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,-3.544830903410911560e-02,7.973247766494750977e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.770000000000000000e+02,6.790000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,-1.145253032445907593e-01,6.336494535207748413e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.740000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,-6.135284155607223511e-02,1.156156957149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.740000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,-1.581539958715438843e-01,7.377474009990692139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+02,6.610000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,-7.635020464658737183e-02,1.569268852472305298e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+02,6.610000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,-1.636075824499130249e-01,1.442883312702178955e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,2.045094780623912811e-02,2.171826958656311035e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,-2.372309863567352295e-01,1.106621101498603821e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,6.880000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.881487220525741577e-01,1.820019334554672241e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,6.880000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,-4.908227548003196716e-02,7.837811112403869629e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.410000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,4.417404830455780029e-01,6.492974758148193359e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.410000000000000000e+02,7.060000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,-1.554272025823593140e-01,8.142434358596801758e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.970000000000000000e+02,6.790000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.590453326702117920e-01,7.874296903610229492e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.970000000000000000e+02,6.790000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,-1.636075824499130249e-01,8.570983409881591797e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.690000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.636075824499130249e-01,8.570983409881591797e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.690000000000000000e+02,6.700000000000000000e+02,3.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,-1.717879623174667358e-01,8.999533057212829590e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000000e+02,6.610000000000000000e+02,3.000000000000000000e+00
